pitch,path,attack,release
58,Alto Sax Leg31_a#2.wav,0.0,0.6
57,Alto Sax Leg31_a2.wav,0.0,0.6
70,Alto Sax Leg31_a#3.wav,0.0,0.6
69,Alto Sax Leg31_a3.wav,0.0,0.6
82,Alto Sax Leg31_a#4.wav,0.0,0.6
81,Alto Sax Leg31_a4.wav,0.0,0.6
59,Alto Sax Leg31_b2.wav,0.0,0.6
71,Alto Sax Leg31_b3.wav,0.0,0.6
83,Alto Sax Leg31_b4.wav,0.0,0.6
49,Alto Sax Leg31_c#2.wav,0.0,0.6
48,Alto Sax Leg31_c2.wav,0.0,0.6
61,Alto Sax Leg31_c#3.wav,0.0,0.6
60,Alto Sax Leg31_c3.wav,0.0,0.6
73,Alto Sax Leg31_c#4.wav,0.0,0.6
72,Alto Sax Leg31_c4.wav,0.0,0.6
85,Alto Sax Leg31_c#5.wav,0.0,0.6
84,Alto Sax Leg31_c5.wav,0.0,0.6
51,Alto Sax Leg31_d#2.wav,0.0,0.6
50,Alto Sax Leg31_d2.wav,0.0,0.6
63,Alto Sax Leg31_d#3.wav,0.0,0.6
62,Alto Sax Leg31_d3.wav,0.0,0.6
75,Alto Sax Leg31_d#4.wav,0.0,0.6
74,Alto Sax Leg31_d4.wav,0.0,0.6
87,Alto Sax Leg31_d#5.wav,0.0,0.6
86,Alto Sax Leg31_d5.wav,0.0,0.6
52,Alto Sax Leg31_e2.wav,0.0,0.6
64,Alto Sax Leg31_e3.wav,0.0,0.6
76,Alto Sax Leg31_e4.wav,0.0,0.6
88,Alto Sax Leg31_e5.wav,0.0,0.6
54,Alto Sax Leg31_f#2.wav,0.0,0.6
53,Alto Sax Leg31_f2.wav,0.0,0.6
66,Alto Sax Leg31_f#3.wav,0.0,0.6
65,Alto Sax Leg31_f3.wav,0.0,0.6
78,Alto Sax Leg31_f#4.wav,0.0,0.6
77,Alto Sax Leg31_f4.wav,0.0,0.6
56,Alto Sax Leg31_g#2.wav,0.0,0.6
55,Alto Sax Leg31_g2.wav,0.0,0.6
68,Alto Sax Leg31_g#3.wav,0.0,0.6
67,Alto Sax Leg31_g3.wav,0.0,0.6
80,Alto Sax Leg31_g#4.wav,0.0,0.6
79,Alto Sax Leg31_g4.wav,0.0,0.6
