pitch,path,attack,release
46,Alto Saxophone Stac61_a#2.wav,0.0,0.6
45,Alto Saxophone Stac61_a2.wav,0.0,0.6
58,Alto Saxophone Stac61_a#3.wav,0.0,0.6
57,Alto Saxophone Stac61_a3.wav,0.0,0.6
70,Alto Saxophone Stac61_a#4.wav,0.0,0.6
69,Alto Saxophone Stac61_a4.wav,0.0,0.6
47,Alto Saxophone Stac61_b2.wav,0.0,0.6
59,Alto Saxophone Stac61_b3.wav,0.0,0.6
71,Alto Saxophone Stac61_b4.wav,0.0,0.6
37,Alto Saxophone Stac61_c#2.wav,0.0,0.6
36,Alto Saxophone Stac61_c2.wav,0.0,0.6
49,Alto Saxophone Stac61_c#3.wav,0.0,0.6
48,Alto Saxophone Stac61_c3.wav,0.0,0.6
61,Alto Saxophone Stac61_c#4.wav,0.0,0.6
60,Alto Saxophone Stac61_c4.wav,0.0,0.6
39,Alto Saxophone Stac61_d#2.wav,0.0,0.6
38,Alto Saxophone Stac61_d2.wav,0.0,0.6
51,Alto Saxophone Stac61_d#3.wav,0.0,0.6
50,Alto Saxophone Stac61_d3.wav,0.0,0.6
63,Alto Saxophone Stac61_d#4.wav,0.0,0.6
62,Alto Saxophone Stac61_d4.wav,0.0,0.6
40,Alto Saxophone Stac61_e2.wav,0.0,0.6
52,Alto Saxophone Stac61_e3.wav,0.0,0.6
64,Alto Saxophone Stac61_e4.wav,0.0,0.6
42,Alto Saxophone Stac61_f#2.wav,0.0,0.6
41,Alto Saxophone Stac61_f2.wav,0.0,0.6
54,Alto Saxophone Stac61_f#3.wav,0.0,0.6
53,Alto Saxophone Stac61_f3.wav,0.0,0.6
66,Alto Saxophone Stac61_f#4.wav,0.0,0.6
65,Alto Saxophone Stac61_f4.wav,0.0,0.6
44,Alto Saxophone Stac61_g#2.wav,0.0,0.6
43,Alto Saxophone Stac61_g2.wav,0.0,0.6
56,Alto Saxophone Stac61_g#3.wav,0.0,0.6
55,Alto Saxophone Stac61_g3.wav,0.0,0.6
68,Alto Saxophone Stac61_g#4.wav,0.0,0.6
67,Alto Saxophone Stac61_g4.wav,0.0,0.6
