pitch,path,attack,release
34,Bassoon.mf.A#1-PB.wav,0.0,0.6
46,Bassoon.mf.A#2-PB.wav,0.0,0.6
45,Bassoon.mf.A2-PB.wav,0.0,0.6
57,Bassoon.mf.A#3-PB.wav,0.0,0.6
70,Bassoon.mf.A#4-PB.wav,0.0,0.6
69,Bassoon.mf.A4-PB.wav,0.0,0.6
35,Bassoon.mf.B1-PB.wav,0.0,0.6
59,Bassoon.mf.B3-PB.wav,0.0,0.6
71,Bassoon.mf.B4-PB.wav,0.0,0.6
37,Bassoon.mf.C#2-PB.wav,0.0,0.6
36,Bassoon.mf.C2-PB.wav,0.0,0.6
49,Bassoon.mf.C#3-PB.wav,0.0,0.6
48,Bassoon.mf.C3-PB.wav,0.0,0.6
61,Bassoon.mf.C#4-PB.wav,0.0,0.6
60,Bassoon.mf.C4-PB.wav,0.0,0.6
73,Bassoon.mf.C#5-PB.wav,0.0,0.6
72,Bassoon.mf.C5-PB.wav,0.0,0.6
51,Bassoon.mf.D#3-PB.wav,0.0,0.6
50,Bassoon.mf.D3-PB.wav,0.0,0.6
63,Bassoon.mf.D#4-PB.wav,0.0,0.6
62,Bassoon.mf.D4-PB.wav,0.0,0.6
74,Bassoon.mf.D5-PB.wav,0.0,0.6
40,Bassoon.mf.E2-PB.wav,0.0,0.6
52,Bassoon.mf.E3-PB.wav,0.0,0.6
64,Bassoon.mf.E4-PB.wav,0.0,0.6
42,Bassoon.mf.F#2-PB.wav,0.0,0.6
41,Bassoon.mf.F2-PB.wav,0.0,0.6
54,Bassoon.mf.F#3-PB.wav,0.0,0.6
53,Bassoon.mf.F3-PB.wav,0.0,0.6
66,Bassoon.mf.F#4-PB.wav,0.0,0.6
65,Bassoon.mf.F4-PB.wav,0.0,0.6
43,Bassoon.mf.G2-PB.wav,0.0,0.6
55,Bassoon.mf.G3-PB.wav,0.0,0.6
68,Bassoon.mf.G#4-PB.wav,0.0,0.6
67,Bassoon.mf.G4-PB.wav,0.0,0.6
