pitch,path,attach,release
33,A1-tremolo-PB.wav,0.0,0.6
45,A2-tremolo-PB.wav,0.0,0.6
57,A3-tremolo-PB.wav,0.0,0.6
35,B1-tremolo-PB.wav,0.0,0.6
47,B2-tremolo-PB.wav,0.0,0.6
59,B3-tremolo-PB.wav,0.0,0.6
24,C1-tremolo-PB.wav,0.0,0.6
36,C2-tremolo-PB.wav,0.0,0.6
48,C3-tremolo-PB.wav,0.0,0.6
60,C4-tremolo-PB.wav,0.0,0.6
26,D1-tremolo-PB.wav,0.0,0.6
38,D2-tremolo-PB.wav,0.0,0.6
50,D3-tremolo-PB.wav,0.0,0.6
62,D4-tremolo-PB.wav,0.0,0.6
28,E1-tremolo-PB.wav,0.0,0.6
40,E2-tremolo-PB.wav,0.0,0.6
52,E3-tremolo-PB.wav,0.0,0.6
64,E4-tremolo-PB.wav,0.0,0.6
29,F1-tremolo-PB.wav,0.0,0.6
41,F2-tremolo-PB.wav,0.0,0.6
53,F3-tremolo-PB.wav,0.0,0.6
65,F4-tremolo-PB.wav,0.0,0.6
31,G1-tremolo-PB.wav,0.0,0.6
43,G2-tremolo-PB.wav,0.0,0.6
55,G3-tremolo-PB.wav,0.0,0.6
67,G4-tremolo-PB.wav,0.0,0.6
