pitch,path,attack,release
89,119_II-67-F5# (interp(L).wav,0.0,0.6
88,121_II-66-F5(L).wav,0.0,0.6
87,123_II-65-E5(L).wav,0.0,0.6
86,125_II-64-D#5(L).wav,0.0,0.6
85,127_II-63-D5(L).wav,0.0,0.6
84,129_II-62-C#5(L).wav,0.0,0.6
83,131_II-61-C5(L).wav,0.0,0.6
82,133_II-60-B4(L).wav,0.0,0.6
81,135_II-59-A#4(L).wav,0.0,0.6
80,137_II-58-A4(L).wav,0.0,0.6
79,139_II-57-G#4(L).wav,0.0,0.6
78,141_II-56-G4(L).wav,0.0,0.6
77,143_II-55-F#4(L).wav,0.0,0.6
76,145_II-54-F4(L).wav,0.0,0.6
75,147_II-53-E4(L).wav,0.0,0.6
74,149_II-52-D#4(L).wav,0.0,0.6
73,151_II-51-D4(L).wav,0.0,0.6
72,153_II-50-C#4(L).wav,0.0,0.6
71,155_II-49-C4(L).wav,0.0,0.6
70,157_II-48-B3(L).wav,0.0,0.6
69,159_II-47-A#3(L).wav,0.0,0.6
68,161_II-46-A3(L).wav,0.0,0.6
67,163_II-45-G#3(L).wav,0.0,0.6
66,165_II-44-G3(L).wav,0.0,0.6
65,167_II-43-F#3(L).wav,0.0,0.6
64,169_II-42-F3(L).wav,0.0,0.6
63,171_II-41-E3(L).wav,0.0,0.6
62,173_II-40-D#3(L).wav,0.0,0.6
61,175_II-39-D3(L).wav,0.0,0.6
60,177_II-38-C#3(L).wav,0.0,0.6
59,179_II-37-C3(L).wav,0.0,0.6
58,181_II-36-B2(L).wav,0.0,0.6
57,183_II-35-A#2(L).wav,0.0,0.6
56,185_II-34-A2(L).wav,0.0,0.6
55,187_II-33-G#2(L).wav,0.0,0.6
54,189_II-32-G2(L).wav,0.0,0.6
53,191_II-31-F#2(L).wav,0.0,0.6
52,193_II-30-F2(L).wav,0.0,0.6
51,195_II-29-E2(L).wav,0.0,0.6
50,197_II-28-D#2(L).wav,0.0,0.6
49,199_II-27-D2(L).wav,0.0,0.6
48,201_II-26-C#2(L).wav,0.0,0.6
47,203_II-25-C2(L).wav,0.0,0.6
46,205_II-24-B1(L).wav,0.0,0.6
45,207_II-23-A#1(L).wav,0.0,0.6
44,209_II-22-A1(L).wav,0.0,0.6
43,211_II-21-G#1(L).wav,0.0,0.6
42,213_II-20-G1(L).wav,0.0,0.6
41,215_II-19-F#1(L).wav,0.0,0.6
40,217_II-18-F1(L).wav,0.0,0.6
39,219_II-17-E1(L).wav,0.0,0.6
38,221_II-16-D#1(L).wav,0.0,0.6
37,223_II-15-D1(L).wav,0.0,0.6
36,225_II-14-C#1(L).wav,0.0,0.6
35,227_II-13-C1(L).wav,0.0,0.6
34,229_II-12-B0(L).wav,0.0,0.6
33,231_II-11-A#0(L).wav,0.0,0.6
32,233_II-10-A0(L).wav,0.0,0.6
31,235_II-09-G#0(L).wav,0.0,0.6
