pitch,path,attach,release
36,Horn.mf.C2-PB-loop.wav,0.0,0.6
38,Horn.mf.D2-PB-loop.wav,0.0,0.6
39,Horn.mf.D#2-PB-loop.wav,0.0,0.6
40,Horn.mf.E2-PB-loop.wav,0.0,0.6
44,Horn.mf.G#2-PB-loop.wav,0.0,0.6
45,Horn.mf.A2-PB-loop.wav,0.0,0.6
46,Horn.mf.A#2-PB-loop.wav,0.0,0.6
52,horn-e3-PB-loop.wav,0.0,0.6
58,horn-a#3-PB-loop.wav,0.0,0.6
60,Horn.mf.C4-PB-loop.wav,0.0,0.6
61,Horn.mf.C#4-PB-loop.wav,0.0,0.6
63,Horn.mf.D#4-PB-loop.wav,0.0,0.6
64,Horn.mf.E4-PB-loop.wav,0.0,0.6
65,Horn.mf.F4-PB-loop.wav,0.0,0.6
66,Horn.mf.F#4-PB-loop.wav,0.0,0.6
67,Horn.mf.G4-PB-loop.wav,0.0,0.6
68,Horn.mf.G#4-PB-loop.wav,0.0,0.6
69,Horn.mf.A4-PB-loop.wav,0.0,0.6
71,Horn.mf.B4-PB-loop.wav,0.0,0.6
72,Horn.mf.C5-PB-loop.wav,0.0,0.6
76,Horn.mf.E5-PB-loop.wav,0.0,0.6
77,Horn.mf.F5-PB-loop.wav,0.0,0.6
