pitch,path,attack,release
21,A0.wav,0.0,0.7
33,A1.wav,0.0,0.7
45,A2.wav,0.0,0.7
57,A3.wav,0.0,0.7
69,A4.wav,0.0,0.7
81,A5.wav,0.0,0.7
93,A6.wav,0.0,0.7
105,A7.wav,0.0,0.7
24,C1.wav,0.0,0.7
36,C2.wav,0.0,0.7
48,C3.wav,0.0,0.7
60,C4.wav,0.0,0.7
72,C5.wav,0.0,0.7
84,C6.wav,0.0,0.7
96,C7.wav,0.0,0.7
108,C8.wav,0.0,0.7
27,D#1.wav,0.0,0.7
39,D#2.wav,0.0,0.7
51,D#3.wav,0.0,0.7
63,D#4.wav,0.0,0.7
75,D#5.wav,0.0,0.7
87,D#6.wav,0.0,0.7
99,D#7.wav,0.0,0.7
30,F#1.wav,0.0,0.7
42,F#2.wav,0.0,0.7
54,F#3.wav,0.0,0.7
66,F#4.wav,0.0,0.7
78,F#5.wav,0.0,0.7
90,F#6.wav,0.0,0.7
102,F#7.wav,0.0,0.7
