pitch,path,attack,release
69,TenorTrombone.mf.A4-PB.wav,0.0,0.6
72,TenorTrombone.mf.C5-PB.wav,0.0,0.6
65,TenorTrombone.mf.F4-PB.wav,0.0,0.6
67,TenorTrombone.mf.G4-PB.wav,0.0,0.6
49,Trombone-sus.mf.C#3-PB-loop.wav,0.0,0.6
61,Trombone-sus.mf.C#4-PB-loop.wav,0.0,0.6
50,Trombone-sus.mf.D3-PB-loop.wav,0.0,0.6
64,Trombone-sus.mf.E4-PB-loop.wav,0.0,0.6
42,Trombone-sus.mf.F#2-PB-loop.wav,0.0,0.6
54,Trombone-sus.mf.F#3-PB-loop.wav,0.0,0.6
66,Trombone-sus.mf.F#4-PB-loop.wav,0.0,0.6
68,Trombone-sus.mf.G#4-PB-loop.wav,0.0,0.6
67,Trombone-sus.mf.G4-PB-loop.wav,0.0,0.6
