pitch,path,attack,release
58,viola_A#3-staccato-rr1-PB.wav,0.0,0.6
70,viola_A#4-staccato-rr1-PB.wav,0.0,0.6
81,viola_A5-staccato-rr1-PB.wav,0.0,0.6
48,viola_C3-staccato-rr1-PB.wav,0.0,0.6
49,viola_C#3-staccato-rr2-PB.wav,0.0,0.6
60,viola_C4-staccato-rr1-PB.wav,0.0,0.6
61,viola_C#5-staccato-rr1-PB.wav,0.0,0.6
72,viola_C5-staccato-rr2-PB.wav,0.0,0.6
63,viola_D#4-staccato-rr2-PB.wav,0.0,0.6
52,viola_E3-staccato-rr1-PB.wav,0.0,0.6
64,viola_E4-staccato-rr1-PB.wav,0.0,0.6
76,viola_E5-staccato-rr1-PB.wav,0.0,0.6
88,viola_E6-staccato-rr1-PB.wav,0.0,0.6
54,viola_F#3-staccato-rr2-PB.wav,0.0,0.6
53,viola_F4-staccato-rr2-PB.wav,0.0,0.6
55,viola_G3-staccato-rr1-PB.wav,0.0,0.6
67,viola_G4-staccato-rr1-PB.wav,0.0,0.6
68,viola_G#4-staccato-rr2-PB.wav,0.0,0.6
80,viola_G#5-staccato-rr1-PB.wav,0.0,0.6
