pitch,path,attach,release
58,1st-violins-sus-a#3.wav,0.0,0.6
70,1st-violins-sus-a#4.wav,0.0,0.6
82,1st-violins-sus-a#5.wav,0.0,0.6
94,1st-violins-sus-a#6.wav,0.0,0.6
61,1st-violins-sus-c#4.wav,0.0,0.6
73,1st-violins-sus-c#5.wav,0.0,0.6
85,1st-violins-sus-c#6.wav,0.0,0.6
64,1st-violins-sus-e4.wav,0.0,0.6
76,1st-violins-sus-e5.wav,0.0,0.6
88,1st-violins-sus-e6.wav,0.0,0.6
55,1st-violins-sus-g3.wav,0.0,0.6
67,1st-violins-sus-g4.wav,0.0,0.6
79,1st-violins-sus-g5.wav,0.0,0.6
91,1st-violins-sus-g6.wav,0.0,0.6
